url,location,date,collected_at,processed,timestamp,last_update
/vaga-de-ajudante-cozinha-em-rio-janeiro__10180024.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 04:55:01,2024-12-12 22:38:52,False,,2024-12-12 22:39:08.411567
/vaga-de-instrutora-ensino-em-rio-janeiro__8646434.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 04:54:00,2024-12-12 22:38:52,False,,2024-12-12 22:39:08.411567
/vaga-de-educador-ae-ambiental-exclusivo-pessoa-deficiencia-em-rio-janeiro__10160659.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 04:52:00,2024-12-12 22:38:52,False,,2024-12-12 22:39:08.411567
/vaga-de-fiscal-prevencao-perdas-carrefour-asa-nortei4cs-em-__10179977.aspx,Todo Brasil,2024-12-12 04:44:00,2024-12-12 22:38:52,False,,2024-12-12 22:39:08.411567
/vaga-de-vendedor-externo-em-rio-janeiro__10179957.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 04:41:00,2024-12-12 22:38:52,False,,2024-12-12 22:39:08.411567
/vaga-de-mecanico-refrigeracao-noturnodiurno-rio-janeiro-em-rio-janeiro__10179950.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 04:40:00,2024-12-12 22:38:52,False,,2024-12-12 22:39:08.411567
/vaga-de-cozinheiro-restaurante-tijuca-em-rio-janeiro__10179922.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 04:33:00,2024-12-12 22:38:53,False,,2024-12-12 22:39:08.411567
/vaga-de-promotor-merchandising-rio-janeirorj-em-rio-janeiro__10179902.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 04:29:00,2024-12-12 22:38:53,False,,2024-12-12 22:39:08.411567
/vaga-de-operador-cartao-atacadao-santa-cruz-em-rio-janeiro__10179860.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 04:20:00,2024-12-12 22:38:53,False,,2024-12-12 22:39:08.411567
/vaga-de-gerente-loja-artigos-eletronicos-em-rio-janeiro__9825565.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 04:11:00,2024-12-12 22:38:53,False,,2024-12-12 22:39:08.411567
/vaga-de-motorista-entrega-cargo-park-rj-em-rio-janeiro__10179772.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:56:00,2024-12-12 22:39:07,False,,2024-12-12 22:39:08.411567
/vaga-de-encarregado-mecanica-em-__10179760.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:39:07,False,,2024-12-12 22:39:08.411567
/vaga-de-encarregado-eletrica-em-__10179762.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:39:07,False,,2024-12-12 22:39:08.411567
/vaga-de-encanador-industrial-em-__10179763.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:39:07,False,,2024-12-12 22:39:08.411567
/vaga-de-mecanico-montador-em-__10179764.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:39:07,False,,2024-12-12 22:39:08.411567
/vaga-de-encanador-predial-em-__10179766.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:39:07,False,,2024-12-12 22:39:08.411567
/vaga-de-eletricista-instalacoes-em-__10179767.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:39:08,False,,2024-12-12 22:39:08.411567
/vaga-de-montador-infraestrutura-eletrica-em-__10179769.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:39:08,False,,2024-12-12 22:39:08.411567
/vaga-de-ajudante-em-__10179770.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:39:08,False,,2024-12-12 22:39:08.411567
